question_number,year,question,option1,option2,option3,option4,correct_option
1,2014,Which question paper type of use of English is given to you?,Type F,Type E,Type L,Type S,C
2,2014,Which of the following is true according to the passage?,Change is inimitable,Change is inestimable,Change is invaluable,Change is inevitable,C
3,2014,It can be deduced from the passage that  political and social changes are,Intertwined,Antithetical,Independent,Repulsive,A
4,2014,A suitable title for this passage is,Reasons for political change,The struggle for political power,Elements of politics,Social change and political empowerment,D
5,2014,"The word alteration, as used in the passage, means",Multiplication,Recognition,Modification,"Complication PASSAGE II Like all reptiles, snakes are cold- blooded,  or  more  correctly, ectodermic- they cannot produce their own  body heat;   instead, they rely on the sun to heat their bodies. Because they do not rely on energy from food to generate body heat; snakes can survive on an extremely meagre diet. Some wait  for    months   between successive   meals   and    a  few survive  by  eating  a large meal just once or twice a year. When they do eat, snakes swallow their prey whole rather than biting off small pieces. Many snakes have specialized jaws that enable them to swallow animals that are far larger than their own heads. Although uncommon, some snakes, such as the African rock python, have been observed eating animals as large as an antelope or a small cow. With   over   two   thousand  five hundred  species    belonging  to more  than  ten  families,  snakes are large   and   successful   group. They owe much of this success to their   versatility  snakes  occupy habitat ranging from underground burrows to the top of the tree, to ocean   depths  as   great  as  one hundred and  fifty   meters. They are  found  on   every continent except Antarctica , and although they    are   most   abundant in tropical areas, many survive in regions marked by extreme cold. The only places without snakes are parts of the Polar Regions and isolated islands, such as the republic of Ireland and New- Zealand as opposed to places in Nigeria like plateau and Gombe states in the northern parts where there is a large population of snakes.",C
6,2014,It can be inferred from the passage that snakes are,Heterogeneous creatures,Voracious cow eaters,Great insect eaters,Homogeneous reptiles,A
7,2014,"The most notable thing about snakes, according to the passage, is that they",Abound in gombe and plateau state,Are versatile in reproduction,Eat big but seldom,Exist in families,A
8,2014,Which of the following is true according to the passage?,Snakes are not in the polar region,Snakes are endemic on every continent,There are countless number of snakes in the republic of Ireland,Snakes are seldom seen at the Antarctica,A
9,2014,It can be deduced from the passage that snakes have,No external auditory organ,Visible internal locomotive organs,No visual sense of measurement,Large appetite for antelopes,B
10,2014,A suitable title for this passage is,Feeding habits of snakes,column C. magazine D. a,all readers D. an agent].,"Species of snakes in Nigeria and other lands PASSAGE III The passage below has gaps numbered 11 to 20. Immediately following each gap, four options are provided. Choose the most appropriate option for each gap. Each question carries 2 marks. Setting up a newspaper involves a lot of preparations. The .....11 .... [A. processor B. lithographer  C. proprietor D. sub-editor] has to employ a lot of people. Other people working with him are cartographers, editors, typesetters, readers, who work in various ways to produce the text of the newspaper, .... 12       [A. agents B. reporters C. analysts D. vendors ] who go out and collect stories and items of news, and .... 13 ..... [A. correspondents B.distributors C. listeners D. newscasters ], who specialize in one kind of topic. Another important person who works closely with the editor --in - - chief is the ... 14 ............ [A. announcer B. news editor C. proofreader D. reporter], who has to choose the most important stories .... 15 .... [A. subeditors B. writers C. agents D. producers] go through stories sent to make necessary adjustments The Editor-in-chief could determine for instance, whether a particular journalist should write articles daily or weekly in a particular column. Such a journalist is known as 16 ..... [A. a freelancer B. a composer C. a columnist D. an essayist]. The editorials of the newspaper will be coordinated by ..... 17 ..... [A. a guild of researchers B. an editorial board The publisher could decide to establish ..... 18 ..... [A. an article gazetteer] which would be on sale weekly, fortnightly or monthly ..... 19 ..... [A. a contrast from B. a contrast in C. a contrast to D. a contrast for] the eye catching, screaming headlines and captions of newspapers on sale everyday from the ..... 20 [A. readers B.distributors C. pressmen D. salesmen] Adapted from idowu, et al. (1998) Round-up English: A complete Course. Lagos: Longman Questions 21 to 30 are based on Chukwuemeka Ike’s The potters wheel.",B
21,2014,Chief Okeke Okafo decided to buy an 'iron horse' because it would,Allow him to be the head of the clan,Raise his status in the clan,Minimize the strain of travel from one town to another,Give him the opportunity to act like the district commissioner,D
22,2014,".... the vanquished dragon, spewing sand instead of fire gave a solemn and humiliating pledge that he would never cross Obu`s path. From the excerpt above, the word vanquished means",Unflappable,Unconcerned,Sensitive,Subdued,D
23,2014,"In the novel, the suspicion that Obu was an `ogbanje` had revalued the",Time Obu spent at teachers house,Disappearance of Obu in standard,Price tag Mazi Laza and his wife placed on Obu.,Participation of Obu as a member of the masquerade group,D
24,2014,"According to the novel, a pupil who `carried his class` would be instructed to",Dance on the assembly ground,Fetch firewood for the teachers,Carry a pad,Clean the latrines,A
25,2014,"If you get confused at any stage, let me know; I want this pottage to be well prepared. The statement above was meant to",Distract Ada,Encourage Ada`s cooking habit,Confuse Obu,Test Obu`s cooking skills,D
26,2014,"According to the novel, Mazi laza would shout at any person standing in his way because his bicycle in Umuatala clan was",Had injury people on many occasions,Was manufacture by local engineers,Had faulty brakes and outdated pedals,Came from the same stock as chief Okeke`s,C
27,2014,"From the novel, the first person to own a bicycle in Umuatala clan was",Chief Okeke Okafo,Polycarp's father,Mazi Lazarus,Teacher zacheaus kanu,C
28,2014,"In the novel, what did Mazi Laza do after putting a pinch of snuff into each nostril?",He commended his wife,He gave the remaining to Nwobiara,He nodded with satisfaction,He complained of the stuff,C
