question_number,year,question,option1,option2,option3,option4,correct_option
1,2016,Which of the following structures is a protective adaptive feature of the Agama Lizard to the environment?,Nuchal crest,Claws,Scaly skin,Gular fold.,C
2,2016,Which of the following adapts an insect for feeding?,suitable mouthparts,paired antennae,segmented body,jointed appendages,A
3,2016,Which of the following results from the cross between Yy and Yy?,2Yy-2yy,2Yy:yy:YY,YY:2Yy:yy,YY: Yy:2yy,C
4,2016,Which of the following is NOT part of the carbon cycle?,Organic carbon,Decomposition,Nitrates formation,Photosynthesis,C
5,2016,I. Tissues II. System III. Cell IV. Organs Which of the above is the level of organization of a leaf?,IV,I.,III.,II.,A
6,2016,"In cellular respiration, energy is stored in the form of",heat energy,adenosine diphosphate,adenosine monophosphate,adenosine triphosphate,D
7,2016,The principal organ for the manufacture of food in autotrophy is the,root hair,growing root,mature fruit,green leaf,D
8,2016,A disease that results from lack of iodine in the diet of humans is,beriberi,scurvy,rickets,goiter,D
9,2016,The process whereby some organism with certain favourable features get established in an area is,gene mutation,dispersal,overcrowding,natural selection,D
10,2016,The rise and fall of ocean water during the day is referred to as,gravity,a pull,tide,zone,C
11,2016,Which of the following is a producer in an aquatic habitat?,Nymphaea,Dryopteris,planarian,Similium,C
12,2016,The relationship that exist between a shark and Remora is,parasitism,commensalism,saprophytism,symbiosis,B
13,2016,I. Tissue II. System III. Cell IV Organ The correct sequence of increasing level of complexity is,IV-II-III,I-II-III-IV,IV-III-I-II,III-I-IV-II,D
14,2016,Which of the following is not an inheritable disease?,Poliomyelitis,Sickle-cell anaemia,Mental illness,Haemophilia,A
15,2016,Which of the finger print types occur most frequently in the population of human beings A. Double-loop,,Whorl,Arch,Loop,B
16,2016,Beriberi results from a deficiency of,vitamin A,vitamin E.,vitamin B,vitamin C,B
17,2016,Bacteria which add atmospheric nitrogen to the soil are,putrefying bacteria,nitrifying bacteria,nitrogen fixing bacteria,denitrifying bacteria,C
18,2016,The spines of the hedgehog is an adaptive features for,Courtship,defence,water conservation,obtaining food,C
19,2016,The dental formula of carnivores is represented by,"I 0⁄3, C 1⁄1, pm 4⁄4, m 2⁄3","I 0⁄2, C 1⁄1, pm 4⁄4, m 2⁄4","I 2⁄3, C 2⁄1, pm 3⁄4, m 2⁄3","I 3⁄3, C 1⁄1, pm 4⁄4, m 2⁄2",B
20,2016,Which of the following instruments is used to measure temperature?,Thermometer,Hygrometer,Anemometer,Hydrometer,C
21,2016,"In human, puffiness and water retention in the body is a possible symptom of",bladder malfunction,poor digestion,kidney malfunction,obesity,A
22,2016,The theory of evolution which postulates that all living organisms have a common ancestor was proposed by,Linnaeus,Darwin,Lamarck,Mendel,C
23,2016,Mammals requires roughage in their food to,provide energy,slow down aging,ease digestion,prevent disease,B
24,2016,Variation can occur among offspring of living organism because,seeds are produced by self-pollination,zygotes are produced by cross fertilisation,they are produced by binary fission,they are produced without fertilisation,C
25,2016,The most important biotic factors which affect plants and animals in the habitat are,temperature and rainfall,temperature and turbidity,salinity and relative humidity,rainfall and relative humidity,B
26,2016,The lowest unit of classification is the,Kingdom,class,phylum,species,A
27,2016,Two important process involved in the absorption and transport of materials in plants are,food cycle,food chain,pyramid on numbers,food web,D
29,2016,The cell organelle solely responsible for respiration is the,nucleus,nucleolus,endoplasmic reticulum,mitochondrion,C
30,2016,In which part of Nigeria are Mangrove swamps found?,Chad Basin,Niger Delta,Benue Valley,Mambilla Plateau,D
31,2016,The breeding methods that are useful in selective breeding of animals and plants are,inbreeding and cross- breeding,inbreeding and hetero-breeding,inbreeding and out-breeding,inbreeding and self-breeding,B
32,2016,"In a small unicellular organism, diffusion is sufficient for transport because",the surface area to volume ratio is small,they have lungs for diffusion,materials have to move over long distance,the surface area to volume ratio is large,C
33,2016,The function of the spinal cord is to,stand the body structure erect,control involuntary actions,transmit impulses to the brain,regulates developmental changes,D
34,2016,The first vertebrates to ventures out of water and lives on land are the,Pisces,Amphibians,Reptiles,Aves,C
35,2016,Which of the following factors mostly determine the major biomes of the world.,pressure and wind speed,temperature and wind speed,pressure and rainfall,Temperature and rainfall,B
36,2016,I. Strong winds II. high temperature III. Dry and porous soils. Which group of plants are specially adapted to grow under environmental conditions stated above?,Thallophytic,Mesophytes,Xerophytes,Hydrophytes,D
37,2016,The lowest unit of a biogeographical plant species is,micro flora,macro fauna,micro fauna,macro flora,C
38,2016,Which of the following is rich source of vitamin K?,Tomato,Guava,Milk,Onion,A
39,2016,"Severe diarrhea, dehydration and weakness are symptoms of",a pair of antennae,a pair of walking legs on each segment,four pairs of walking legs on the,two pairs of antennae,D
41,2016,In which of the following groups of invertebrates are flagella and cilia found,annelids,protists,coelenterates,Anthropods,D
42,2016,Physiological variation in human population is evidence in the,difference in the fingerprints,physical appearance of individuals,differences in height and weight,ability to roll the tongue,B
43,2016,"In photosynthesis, oxygen is liberated during",conversion of energy,photolysis,splitting of carbon (IV)oxide,glycolysis,D
44,2016,Use the information below to answer the question that follows What is the total height of rice that grew within the years of cultivation?,240 cm,239 cm,340 cm,339 cm,B
45,2016,Use the information below to answer the question that follows What is the average of the heights of rice within the period of cultivation?,68cm,47.8cm,48cm,67.8cm,B
46,2016,Use the diagram below to answer the question that follows The type vertebra represented in the diagram is,Atlas,Lumbar,Axis,Sacrum,B
47,2016,Use the diagram below to answer the question that follows The structure labeled I is,Centrum,neural canal,neural spins,transverse process ANSWER KEYS:,B
